Event(1)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(1), startTime=360, timeWindow=1080 +  || P: 0 Source: null]
Event(3)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(3), startTime=360, timeWindow=1125 +  || P: 0 Source: null]
Event(4)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(4), startTime=360, timeWindow=1140 +  || P: 0 Source: null]
Event(5)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(5), startTime=360, timeWindow=1140 +  || P: 0 Source: null]
Event(6)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(6), startTime=360, timeWindow=495 +  || P: 0 Source: null]
Event(9)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(9), startTime=360, timeWindow=1110 +  || P: 0 Source: null]
Event(10)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(10), startTime=360, timeWindow=540 +  || P: 0 Source: null]
Event(12)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(12), startTime=360, timeWindow=540 +  || P: 0 Source: null]
Event(15)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(15), startTime=360, timeWindow=1080 +  || P: 0 Source: null]
Event(16)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(16), startTime=360, timeWindow=555 +  || P: 0 Source: null]
Event(17)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(17), startTime=360, timeWindow=510 +  || P: 0 Source: null]
