Event(34)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(34), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(37)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(37), startTime=387, timeWindow=1053 +  || P: 386 Source: null]
Event(38)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(38), startTime=387, timeWindow=1113 +  || P: 386 Source: null]
Event(39)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(39), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(40)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(40), startTime=387, timeWindow=1053 +  || P: 386 Source: null]
Event(41)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(41), startTime=387, timeWindow=498 +  || P: 386 Source: null]
Event(44)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(44), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(47)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(47), startTime=387, timeWindow=1113 +  || P: 386 Source: null]
Event(48)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(48), startTime=387, timeWindow=1083 +  || P: 386 Source: null]
Event(49)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(49), startTime=387, timeWindow=1113 +  || P: 386 Source: null]
Event(52)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(52), startTime=387, timeWindow=1098 +  || P: 386 Source: null]
Event(53)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(53), startTime=387, timeWindow=1053 +  || P: 386 Source: null]
Event(55)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(55), startTime=387, timeWindow=1128 +  || P: 386 Source: null]
Event(56)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(56), startTime=387, timeWindow=498 +  || P: 386 Source: null]
Event(57)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(57), startTime=387, timeWindow=1113 +  || P: 386 Source: null]
Event(58)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(58), startTime=387, timeWindow=453 +  || P: 386 Source: null]
Event(62)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(62), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(63)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(63), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(66)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(66), startTime=387, timeWindow=498 +  || P: 386 Source: null]
Event(68)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(68), startTime=387, timeWindow=1083 +  || P: 386 Source: null]
Event(69)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(69), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(73)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(73), startTime=387, timeWindow=1083 +  || P: 386 Source: null]
Event(74)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(74), startTime=387, timeWindow=483 +  || P: 386 Source: null]
Event(76)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(76), startTime=387, timeWindow=1053 +  || P: 386 Source: null]
Event(77)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(77), startTime=387, timeWindow=498 +  || P: 386 Source: null]
Event(80)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(80), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(82)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(82), startTime=387, timeWindow=513 +  || P: 386 Source: null]
Event(83)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(83), startTime=387, timeWindow=453 +  || P: 386 Source: null]
Event(33)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=V(1 =[3/5]), EVENT_TYPE=DELIVERY, affectedNode=(33), startTime=388, timeWindow=453 +  || P: 387 Source: (30)]
Event(17)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(17), startTime=388, timeWindow=482 +  || P: 387 Source: null]
Event(27)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(27), startTime=388, timeWindow=1112 +  || P: 387 Source: null]
Event(29)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=null, EVENT_TYPE=NO_ACTION, affectedNode=(29), startTime=388, timeWindow=1127 +  || P: 387 Source: null]
Event(16)[affAgent=Agent [id=-1, qualif=-1, currentClock=0, estimatedEnd=0], affVehicle=V(2 =[5/5]), EVENT_TYPE=TRAVEL_TO, affectedNode=(16), startTime=391, timeWindow=528 +  || P: 387 Source: (0)]
Event(5)[affAgent=Agent [id=2, qualif=1, currentClock=361, estimatedEnd=421], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(5), startTime=421, timeWindow=1140 +  || P: 361 Source: (1)]
Event(10)[affAgent=Agent [id=3, qualif=1, currentClock=364, estimatedEnd=424], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(10), startTime=424, timeWindow=539 +  || P: 364 Source: (5)]
Event(12)[affAgent=Agent [id=7, qualif=1, currentClock=368, estimatedEnd=428], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(12), startTime=428, timeWindow=538 +  || P: 368 Source: (9)]
Event(18)[affAgent=Agent [id=8, qualif=1, currentClock=369, estimatedEnd=429], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(18), startTime=429, timeWindow=532 +  || P: 369 Source: (12)]
Event(19)[affAgent=Agent [id=5, qualif=1, currentClock=369, estimatedEnd=429], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(19), startTime=429, timeWindow=532 +  || P: 369 Source: (15)]
Event(4)[affAgent=Agent [id=21, qualif=3, currentClock=374, estimatedEnd=434], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(4), startTime=434, timeWindow=1128 +  || P: 374 Source: (0)]
Event(3)[affAgent=Agent [id=20, qualif=3, currentClock=360, estimatedEnd=435], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(3), startTime=435, timeWindow=1125 +  || P: 360 Source: (0)]
Event(22)[affAgent=Agent [id=11, qualif=1, currentClock=379, estimatedEnd=439], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(22), startTime=439, timeWindow=522 +  || P: 379 Source: (21)]
Event(26)[affAgent=Agent [id=13, qualif=1, currentClock=384, estimatedEnd=444], affVehicle=null, EVENT_TYPE=PICKUP_CALL, affectedNode=(26), startTime=444, timeWindow=520 +  || P: 384 Source: (25)]
